season,event,manager,element_id,player,points
2026/27,1,Audun,12,Bukayo Saka,9
2026/27,1,Audun,13,Declan Rice,3
2026/27,1,Audun,67,Rayan Vitor Simplício Rocha,2
2026/27,1,Audun,68,Marcus Tavernier,10
2026/27,1,Audun,82,Caoimhín Kelleher,7
2026/27,1,Audun,142,Reece James,0
2026/27,1,Audun,149,Levi Samuels Colwill,0
2026/27,1,Audun,157,Estêvão Almeida de Oliveira Gonçalves,1
2026/27,1,Audun,222,Jørgen Strand Larsen,1
2026/27,1,Audun,356,Virgil van Dijk,2
2026/27,1,Audun,472,Murillo Costa dos Santos,4
2026/27,1,David,10,Benjamin White,11
2026/27,1,David,237,Iliman Ndiaye,9
2026/27,1,David,366,Florian Wirtz,2
2026/27,1,David,367,Cody Gakpo,12
2026/27,1,David,391,Joško Gvardiol,9
2026/27,1,David,412,Senne Lammens,1
2026/27,1,David,427,Bryan Mbeumo,2
2026/27,1,David,527,Richarlison de Andrade,2
2026/27,1,David,532,Daniel Ballard,0
2026/27,1,David,534,Trai Hume,2
2026/27,1,David,552,Brian Brobbey,2
2026/27,1,Henrik,84,Nathan Collins,6
2026/27,1,Henrik,200,Maxence Lacroix,6
2026/27,1,Henrik,277,John Egan,8
2026/27,1,Henrik,306,Jacob Greaves,2
2026/27,1,Henrik,313,Jack Clarke,7
2026/27,1,Henrik,346,Dominic Calvert-Lewin,1
2026/27,1,Henrik,379,Alexander Isak,2
2026/27,1,Henrik,384,Gianluigi Donnarumma,3
2026/27,1,Henrik,399,Rayan Cherki,8
2026/27,1,Henrik,429,Marcus Rashford,1
2026/27,1,Henrik,490,Chris Wood,1
2026/27,1,Henrik R,70,Justin Kluivert,3
2026/27,1,Henrik R,112,Jan Paul van Hecke,1
2026/27,1,Henrik R,125,Georginio Rutter,5
2026/27,1,Henrik R,155,Enzo Fernández,1
2026/27,1,Henrik R,249,Thierno Barry,8
2026/27,1,Henrik R,385,James Trafford,9
2026/27,1,Henrik R,387,Nico O'Reilly,2
2026/27,1,Henrik R,426,Bruno Borges Fernandes,2
2026/27,1,Henrik R,428,Matheus Santos Carneiro da Cunha,2
2026/27,1,Henrik R,480,Morgan Gibbs-White,2
2026/27,1,Henrik R,580,Ronald Araujo,1
2026/27,1,Kriss,1,David Raya Martín,6
2026/27,1,Kriss,8,Riccardo Calafiori,9
2026/27,1,Kriss,15,Martin Ødegaard,11
2026/27,1,Kriss,26,Kai Havertz,6
2026/27,1,Kriss,123,Jack Hinshelwood,16
2026/27,1,Kriss,165,João Pedro Junqueira de Jesus,11
2026/27,1,Kriss,236,Kiernan Dewsbury-Hall,11
2026/27,1,Kriss,390,Rúben dos Santos Gato Alves Dias,2
2026/27,1,Kriss,418,Harry Maguire,1
2026/27,1,Kriss,491,Igor Jesus Maciel da Cruz,2
2026/27,1,Kriss,514,Mathys Tel,2
2026/27,1,Morten,11,Cristhian Mosquera,6
2026/27,1,Morten,40,Morgan Rogers,8
2026/27,1,Morten,226,Jordan Pickford,7
2026/27,1,Morten,229,James Tarkowski,6
2026/27,1,Morten,260,Harry Wilson,3
2026/27,1,Morten,393,Abdukodir Khusanov,2
2026/27,1,Morten,411,Erling Haaland,2
2026/27,1,Morten,417,Diogo Dalot Teixeira,1
2026/27,1,Morten,465,William Osula,4
2026/27,1,Morten,504,Luka Vušković,6
2026/27,1,Morten,542,Enzo Le Fée,2
2026/27,1,Seb,4,Gabriel dos Santos Magalhães,5
2026/27,1,Seb,79,Francisco Evanilson de Lima Barbosa,4
2026/27,1,Seb,140,Robert Lynch Sánchez,2
2026/27,1,Seb,144,Malo Gusto,1
2026/27,1,Seb,154,Cole Palmer,13
2026/27,1,Seb,201,Daniel Muñoz Mejía,0
2026/27,1,Seb,223,Jean-Philippe Mateta,2
2026/27,1,Seb,357,Jeremie Frimpong,0
2026/27,1,Seb,369,Rio Ngumoha,2
2026/27,1,Seb,398,Phil Foden,1
2026/27,1,Seb,554,Christos Tzolis,6
2026/27,1,Simon,69,Alex Scott,2
2026/27,1,Simon,106,Igor Thiago Nascimento Rodrigues,0
2026/27,1,Simon,124,Pascal Groß,2
2026/27,1,Simon,156,Pedro Lomba Neto,1
2026/27,1,Simon,350,Alisson Becker,2
2026/27,1,Simon,362,Jeremy Jacquet,1
2026/27,1,Simon,388,Marc Guéhi,10
2026/27,1,Simon,397,Antoine Semenyo,2
2026/27,1,Simon,423,Luke Shaw,1
